#nazwa		#e		#a[AU]		#t_p[JD]		#Omega[deg]	#i[deg]		#omega[deg] 	#UTC(#r #m #d	#g #m #s)
Mars		0.0935093646	1.52371810872	2457691.044052374084	49.507217712	1.8483832144	286.67034447	2017 01 23	23 00 00
Neptun		0.0065096651	30.0024341512	2470186.992717396002	131.91517960	1.7775190215	284.49761336	2017 08 24	22 30 00	#test komentarza
Wenus		0.0067408139	0.72332639285	2457805.214647647925	76.633446443	3.3944058427	55.031133579	2017 01 24	00 00 00
Saturn		0.0523986560	9.56510725403	2452842.620069149882	113.58898986	2.4870344090	340.40440706	2017 02 01	02 24 38
Halley		0.967300656968	17.865104387715	2446470.151799948420	58.827952769657	162.24664778600	111.72793009928	2017 02 16	00 00 00
UFO		0		2		2457805.214647647925	0		90		90		2017 02 15	14 37 38.542
