#Współrzędne Ziemi w układzie barycentrycznym ekliptycznym
#Źródło: http://ssd.jpl.nasa.gov/horizons.cgi
#data			#X			#Y			#Z
2458060.500000000 7.562886317364441E-01  6.502946468841886E-01 -1.560761508220206E-04
2458061.500000000 7.447168137296353E-01  6.632107798408684E-01 -1.562509940086328E-04
2458062.500000000 7.329211591183669E-01  6.759286302140125E-01 -1.565734324847435E-04
2458063.500000000 7.209047539158082E-01  6.884445335688631E-01 -1.570485070550841E-04
2458064.500000000 7.086706671087246E-01  7.007547801974710E-01 -1.576689658209157E-04
2458065.500000000 6.962219902455477E-01  7.128555903290648E-01 -1.584157972648541E-04
2458066.500000000 6.835618830746177E-01  7.247431088628066E-01 -1.592604502891388E-04
2458067.500000000 6.706936147687735E-01  7.364134186773652E-01 -1.601680779674876E-04
2458068.500000000 6.576205937826070E-01  7.478625663610298E-01 -1.611009863127055E-04
2458069.500000000 6.443463845313855E-01  7.590865928568562E-01 -1.620216706011748E-04
2458070.500000000 6.308747128950081E-01  7.700815633070768E-01 -1.628951614545287E-04
2458071.500000000 6.172094639742013E-01  7.808435932013080E-01 -1.636906765303278E-04
2458072.500000000 6.033546751580149E-01  7.913688701593652E-01 -1.643827046943844E-04
2458073.500000000 5.893145264950999E-01  8.016536717832929E-01 -1.649516643416694E-04
2458074.500000000 5.750933293963498E-01  8.116943802154150E-01 -1.653842368667347E-04
2458075.500000000 5.606955141638177E-01  8.214874938008863E-01 -1.656734304259024E-04
2458076.500000000 5.461256167274909E-01  8.310296359722067E-01 -1.658184043603896E-04
2458077.500000000 5.313882650931884E-01  8.403175613753090E-01 -1.658240856055761E-04
2458078.500000000 5.164881661418028E-01  8.493481593900007E-01 -1.657006256071172E-04
2458079.500000000 5.014300934106345E-01  8.581184554767551E-01 -1.654627645334829E-04
2458080.500000000 4.862188762734358E-01  8.666256110631567E-01 -1.651291758216226E-04
2458081.500000000 4.708593905549717E-01  8.748669228372906E-01 -1.647218518362748E-04
2458082.500000000 4.553565501574267E-01  8.828398222682793E-01 -1.642655609719998E-04
2458083.500000000 4.397152988322207E-01  8.905418759040825E-01 -1.637873619488437E-04
2458084.500000000 4.239406008805634E-01  8.979707864997630E-01 -1.633161069505996E-04
2458085.500000000 4.080374294003662E-01  9.051243942931219E-01 -1.628818064466492E-04
2458086.500000000 3.920107508781754E-01  9.120006767638781E-01 -1.625146747601490E-04
2458087.500000000 3.758655057281404E-01  9.185977440902102E-01 -1.622436502935307E-04
2458088.500000000 3.596065861327744E-01  9.249138266484317E-01 -1.620942337591849E-04
2458089.500000000 3.432388153059742E-01  9.309472511444924E-01 -1.620856719331138E-04
2458090.500000000 3.267669352825785E-01  9.366964044468536E-01 -1.622278589961339E-04
2458091.500000000 3.101956114749587E-01  9.421596893263475E-01 -1.625187341780663E-04
2458092.500000000 2.935294590553051E-01  9.473354823185268E-01 -1.629431558376616E-04
